0x0610418E "b"
0x0C600ECB "NGC_Trigger"
0x2420293F "Skater_InRevert"
0x2F30F746 "OnGroundExceptions"
0x596054A5 "JumpSlot"
0x82809286 "ClearEventBuffer"
0x8840B9CA "bone"
0xA2F094E5 "Trigger"
0xC55009A5 "Upright"
0xCF80BF74 "SkitchLeft"
0xD7B0DEE8 "CanKickOff"
0xEE9083C9 "Skater_Skitching"
0x0901D9F0 "Speed"
0x0B71EB41 "NollieOn"
0x0CF13170 "Params"
0x19412ADC "FSPowerslide"
0x24915E6F "PlayCessSound"
0x264160D8 "pitch"
0x270181DE "SetSkaterGroundTricks"
0x2C717A0C "Flipped"
0x31C14F11 "Actuator"
0x36C11136 "Gettags"
0x43E1DA17 "pref_type"
0x55D19CF3 "BSAnim"
0x7B7166CF "GotParam"
0x8F116BBC "Up"
0xA59183C4 "radius"
0xAE719309 "SyncToPreviousAnim"
0xBC0118C5 "CessSlide180_FS"
0xBC414817 "a"
0xBED13B9F "GoalManager_GoalShouldExpire"
0xCDB16751 "Trick_Fastplant"
0xD2C12BF8 "AndManuals"
0xF8416E64 "Manuals"
0xF981DCA1 "Name"
0x00821B40 "FLAG_SKATER_REVERTFS"
0x02A25736 "SetSkaterAirManualTricks"
0x0312946D "wobble"
0x19F22C40 "LaunchStateChangeEvent"
0x1A12DAE4 "PowerSlide"
0x2142CDDA "Trick_Beanplant"
0x37E2E081 "Trick_Boneless"
0x513281D5 "KillExtraTricks"
0x6B122AB2 "Jumptricks0"
0x71522C13 "Revert"
0x78926820 "Triangle"
0x80222AA9 "TrickSlot"
0x91E219BC "CanBrakeOn"
0x91B2B318 "WaitOneGameFrame"
0x91721E0B "PlayAnim"
0xA95254F2 "Bone_Board_Tail"
0xB1B25151 "PlaySound"
0xB5223445 "CrouchCessSlide180_BS"
0xBCE22E4B "SetTrickName"
0xD742E0A2 "TripleInOrder"
0xE042862D "RevertBS"
0xE9D26600 "ClearException"
0xEE12561C "SkaterIsNamed"
0x16138A6C "LastSpinWas"
0x19E3D51D "BonelessWaitAnimWhilstChecking"
0x32C3074A "frame"
0x3363F602 "CanKick"
